101,"atk"
106,"atk_per"
111,"hp_max"
121,"hp_max"
126,"hp_max_per"
141,"def"
151,"speed"
146,"def"
156,"speed"
161,"skill_rate"
166,"hit_rate"
171,"dodge_rate"
176,"crit_rate"
181,"crit_ratio"
186,"ignore_def"
191,"dodge_magic"
196,"res"
108,"real_rate"
330,"init_rage"
g,1
d,3
e,5
x,36
s,170,162409
s,171,162409
s,172,162409
s,173,162409
s,174,162409
s,175,162409
s,176,162410
s,177,162410
s,178,162410
s,179,162410
s,180,162410
s,181,162410
s,182,162411
s,183,162411
s,184,162411
s,185,162411
s,186,162411
s,187,162411
s,188,162412
s,189,162412
s,190,162412
s,191,162412
s,192,162412
s,193,162412
s,194,162413
s,195,162413
s,196,162413
s,197,162413
s,198,162413
s,199,162413
s,200,162414
s,201,162414
s,202,162414
s,203,162414
s,204,162414
s,205,162414
s,206,162415
s,207,162415
s,208,162415
s,209,162415
s,210,162415
s,211,162415
s,212,162416
s,213,162416
s,214,162416
s,215,162416
s,216,162416
s,217,162416
s,218,162417
s,219,162417
s,220,162417
s,221,162417
s,222,162417
s,223,162417
s,224,162418
s,225,162418
s,226,162418
s,227,162418
s,228,162418
s,229,162418
s,230,162501
s,231,162501
s,232,162501
s,233,162501
s,234,162501
s,235,162501
s,236,162502
s,237,162502
s,238,162502
s,239,162502
s,240,162502
s,241,162502
s,242,162503
s,243,162503
s,244,162503
s,245,162503
s,246,162503
s,247,162503
s,248,162504
s,249,162504
s,250,162504
s,251,162504
s,252,162504
s,253,162504
s,254,162505
s,255,162505
s,256,162505
s,257,162505
s,258,162505
s,259,162505
s,260,162506
s,261,162506
s,262,162506
s,263,162506
s,264,162506
s,265,162506
s,266,162507
s,267,162507
s,268,162507
s,269,162507
s,270,162507
s,271,162507
s,272,162508
s,273,162508
s,274,162508
s,275,162508
s,276,162508
s,277,162508
s,278,162509
s,279,162509
s,280,162509
s,281,162509
s,282,162509
s,283,162509
s,284,162510
s,285,162510
s,286,162510
s,287,162510
s,288,162510
s,289,162510
s,290,162511
s,291,162511
s,292,162511
s,293,162511
s,294,162511
s,295,162511
s,296,162512
s,297,162512
s,298,162512
s,299,162512
s,300,162512
s,301,162512
s,302,162513
s,303,162513
s,304,162513
s,305,162513
s,306,162513
s,307,162513
s,308,162514
s,309,162514
s,310,162514
s,311,162514
s,312,162514
s,313,162514
s,314,162515
s,315,162515
s,316,162515
s,317,162515
s,318,162515
s,319,162515
s,320,162516
s,321,162516
s,322,162516
s,323,162516
s,324,162516
s,325,162516
s,326,162517
s,327,162517
s,328,162517
s,329,162517
s,330,162517
s,331,162517
s,332,162518
s,333,162518
s,334,162518
s,335,162518
s,336,162518
s,337,162518
s,4001,162306
s,4002,162306
s,4003,162306
s,4004,162306
s,4005,162306
s,4006,162306
s,4007,162307
s,4008,162307
s,4009,162307
s,4010,162307
s,4011,162307
s,4012,162307
s,5001,162419
s,5002,162419
s,5003,162419
s,5004,162419
s,5005,162419
s,5006,162419
s,5007,162420
s,5008,162420
s,5009,162420
s,5010,162420
s,5011,162420
s,5012,162420
s,5013,162421
s,5014,162421
s,5015,162421
s,5016,162421
s,5017,162421
s,5018,162421
s,5019,162422
s,5020,162422
s,5021,162422
s,5022,162422
s,5023,162422
s,5024,162422
s,5025,162423
s,5026,162423
s,5027,162423
s,5028,162423
s,5029,162423
s,5030,162423
s,5031,162424
s,5032,162424
s,5033,162424
s,5034,162424
s,5035,162424
s,5036,162424
s,5037,162425
s,5038,162425
s,5039,162425
s,5040,162425
s,5041,162425
s,5042,162425
s,5043,162426
s,5044,162426
s,5045,162426
s,5046,162426
s,5047,162426
s,5048,162426
s,5049,162427
s,5050,162427
s,5051,162427
s,5052,162427
s,5053,162427
s,5054,162427
s,6001,162519
s,6002,162519
s,6003,162519
s,6004,162519
s,6005,162519
s,6006,162519
s,6037,162520
s,6038,162520
s,6039,162520
s,6040,162520
s,6041,162520
s,6042,162520
s,6049,162521
s,6050,162521
s,6051,162521
s,6052,162521
s,6053,162521
s,6054,162521
s,6067,162522
s,6068,162522
s,6069,162522
s,6070,162522
s,6071,162522
s,6072,162522
s,6091,162523
s,6092,162523
s,6093,162523
s,6094,162523
s,6095,162523
s,6096,162523
s,6127,162524
s,6128,162524
s,6129,162524
s,6130,162524
s,6131,162524
s,6132,162524
s,6133,162525
s,6134,162525
s,6135,162525
s,6136,162525
s,6137,162525
s,6138,162525
s,6151,162526
s,6152,162526
s,6153,162526
s,6154,162526
s,6155,162526
s,6156,162526
s,6157,162527
s,6158,162527
s,6159,162527
s,6160,162527
s,6161,162527
s,6162,162527
s,6169,162528
s,6170,162528
s,6171,162528
s,6172,162528
s,6173,162528
s,6174,162528
s,6175,162529
s,6176,162529
s,6177,162529
s,6178,162529
s,6179,162529
s,6180,162529
s,6193,162530
s,6194,162530
s,6195,162530
s,6196,162530
s,6197,162530
s,6198,162530
s,6199,162531
s,6200,162531
s,6201,162531
s,6202,162531
s,6203,162531
s,6204,162531
s,6205,162532
s,6206,162532
s,6207,162532
s,6208,162532
s,6209,162532
s,6210,162532
s,6217,162533
s,6218,162533
s,6219,162533
s,6220,162533
s,6221,162533
s,6222,162533
s,6223,162534
s,6224,162534
s,6225,162534
s,6226,162534
s,6227,162534
s,6228,162534
s,6229,162535
s,6230,162535
s,6231,162535
s,6232,162535
s,6233,162535
s,6234,162535
s,6235,162536
s,6236,162536
s,6237,162536
s,6238,162536
s,6239,162536
s,6240,162536
s,6241,162537
s,6242,162537
s,6243,162537
s,6244,162537
s,6245,162537
s,6246,162537
s,60013,162538
s,60014,162538
s,60015,162538
s,60016,162538
s,60017,162538
s,60018,162538
s,60019,162539
s,60020,162539
s,60021,162539
s,60022,162539
s,60023,162539
s,60024,162539
s,60025,162540
s,60026,162540
s,60027,162540
s,60028,162540
s,60029,162540
s,60030,162540
s,60031,162541
s,60032,162541
s,60033,162541
s,60034,162541
s,60035,162541
s,60036,162541
s,60037,162542
s,60038,162542
s,60039,162542
s,60040,162542
s,60041,162542
s,60042,162542
s,60043,162543
s,60044,162543
s,60045,162543
s,60046,162543
s,60047,162543
s,60048,162543
s,60049,162544
s,60050,162544
s,60051,162544
s,60052,162544
s,60053,162544
s,60054,162544
s,60055,162545
s,60056,162545
s,60057,162545
s,60058,162545
s,60059,162545
s,60060,162545
s,60061,162546
s,60062,162546
s,60063,162546
s,60064,162546
s,60065,162546
s,60066,162546
s,60067,162547
s,60068,162547
s,60069,162547
s,60070,162547
s,60071,162547
s,60072,162547
